"date"	"matchup"	"team"	"min"	"tpm"	"tpa"	"oreb"	"dreb"	"ast"	"stl"	"blk"	"to"	"pf"	"pts"	"HA"
20150301	"CLE@HOU"	"HOU"	265	11	30	8	28	21	11	5	19	20	105	1
20210324	"DAL@MIN"	"DAL"	240	16	44	14	39	27	5	6	10	22	128	-1
20160209	"BOS@MIL"	"MIL"	240	7	19	11	27	25	5	6	14	20	112	1
20121123	"SAC@UTZ"	"UTZ"	240	3	15	17	26	27	7	6	11	22	104	1
20070201	"SAS@PHX"	"PHX"	240	6	16	15	36	18	11	2	16	14	103	1
20151217	"HOU@LAL"	"LAL"	240	5	24	13	33	22	5	5	14	27	87	1
20190202	"ATL@PHX"	"ATL"	240	14	32	16	37	21	6	5	24	18	118	-1
20191026	"PHI@DET"	"PHI"	240	13	34	6	32	30	14	3	22	26	117	-1
20210327	"BOS@OKC"	"OKC"	240	11	38	10	40	16	7	4	16	12	94	1
20101229	"MIA@HOU"	"HOU"	240	9	27	16	28	29	11	0	6	23	119	1
20110403	"MIA@BRK"	"BRK"	240	8	28	6	24	22	9	0	9	25	94	1
20091103	"WAS@CLE"	"CLE"	240	11	26	13	29	25	8	3	7	25	102	1
20060101	"MIN@MIA"	"MIA"	240	8	15	10	35	23	8	1	14	19	97	1
20051115	"CHA@ORL"	"CHA"	240	3	10	10	27	20	7	2	10	28	77	-1
20130227	"ATL@UTZ"	"ATL"	240	5	17	8	30	23	8	5	9	20	102	-1
20191025	"NYK@BRK"	"NYK"	240	17	25	9	30	17	14	4	26	31	109	-1
20120422	"NOP@LAC"	"LAC"	240	7	28	11	28	24	13	5	11	27	107	1
20171214	"SAC@MIN"	"SAC"	240	14	33	15	27	24	4	2	14	21	96	-1
20100402	"ORL@SAS"	"ORL"	240	10	24	11	28	18	4	5	11	22	100	-1
20061103	"CHA@MEM"	"CHA"	240	3	13	5	32	22	6	9	19	28	83	-1
20161226	"TOR@POR"	"TOR"	240	12	34	14	38	17	11	4	12	12	95	-1
20160210	"CHA@IND"	"CHA"	240	12	28	10	35	24	6	8	13	13	117	-1
20200108	"CHI@NOP"	"CHI"	240	14	35	10	29	22	12	2	12	23	108	-1
20151125	"PHI@BOS"	"BOS"	240	9	29	11	43	18	7	6	16	12	84	1
20161222	"BOS@IND"	"IND"	240	7	23	8	42	20	5	3	19	21	102	1
20180308	"SAS@GSW"	"GSW"	240	8	30	12	37	30	6	12	10	18	110	1
20050115	"LAL@GSW"	"GSW"	240	12	31	13	35	27	3	8	10	19	102	1
20120404	"MEM@DAL"	"DAL"	240	4	15	9	36	19	7	8	12	11	95	1
20080123	"PHX@MIN"	"MIN"	240	3	10	22	26	28	9	1	10	13	117	1
20090113	"DAL@DEN"	"DAL"	240	7	23	14	33	18	7	8	16	25	97	-1
20051108	"GSW@MIL"	"MIL"	240	6	15	15	27	30	11	3	15	26	103	1
20120404	"DEN@NOP"	"DEN"	240	6	20	12	20	25	7	1	9	22	92	-1
20101117	"LAC@MIN"	"MIN"	240	10	19	5	28	26	9	9	14	21	113	1
20090209	"HOU@MIL"	"MIL"	240	10	20	10	26	31	11	2	7	25	124	1
20170106	"CLE@BRK"	"BRK"	240	9	30	10	42	21	6	1	19	34	108	1
20080201	"HOU@IND"	"IND"	240	12	24	12	33	28	8	4	15	23	103	1
20120130	"DET@MIL"	"MIL"	240	10	17	7	34	21	10	5	15	19	103	1
20101219	"IND@BOS"	"IND"	240	4	18	16	27	17	10	3	13	18	88	-1
20160411	"MIL@ORL"	"MIL"	240	3	15	13	32	18	6	7	23	20	98	-1
20110126	"NOP@GSW"	"GSW"	240	4	13	9	19	19	4	4	21	17	103	1
20161120	"POR@BRK"	"BRK"	240	10	35	11	25	22	5	3	9	20	109	1
20080118	"PHI@BOS"	"BOS"	240	14	22	10	20	31	6	6	16	29	116	1
20190318	"CHI@PHX"	"PHX"	240	7	26	9	29	24	5	5	12	22	101	1
20210429	"BRK@IND"	"BRK"	240	12	35	8	42	35	3	5	13	19	130	-1
20161219	"PHX@MIN"	"MIN"	240	7	19	11	30	26	8	7	19	25	115	1
20191228	"MEM@DEN"	"MEM"	240	9	30	11	34	32	5	5	17	24	110	-1
20081210	"CHA@NOP"	"NOP"	240	12	20	14	34	29	8	10	15	20	105	1
20101217	"PHX@DAL"	"DAL"	240	8	18	11	43	27	9	4	9	18	106	1
20180122	"PHI@MEM"	"PHI"	240	14	31	16	32	21	2	4	23	28	101	-1
20120117	"DEN@MIL"	"DEN"	240	12	25	9	33	27	9	5	17	15	105	-1
20160227	"SAS@HOU"	"SAS"	240	8	19	7	36	24	4	4	13	21	104	-1
20181201	"CHI@HOU"	"CHI"	240	8	32	7	34	15	11	6	13	22	105	-1
20200113	"CHI@BOS"	"BOS"	240	9	23	10	33	28	7	6	12	19	113	1
20140411	"IND@MIA"	"MIA"	240	6	16	11	29	14	10	4	9	22	98	1
20100414	"NYK@TOR"	"TOR"	240	7	14	4	29	28	9	5	11	20	131	1
20131119	"NYK@DET"	"DET"	240	7	19	10	27	19	6	4	15	20	92	1
20060120	"MIL@ATL"	"MIL"	240	4	13	13	33	15	5	7	17	23	118	-1
20100109	"NYK@HOU"	"NYK"	240	7	20	5	27	17	6	4	15	19	96	-1
20200209	"NYK@ATL"	"ATL"	290	14	40	11	39	29	9	8	14	24	140	1
20100404	"SAS@LAL"	"LAL"	240	5	21	8	26	25	6	5	11	21	81	1
20181101	"OKC@CHA"	"CHA"	240	11	41	11	40	26	7	3	17	26	107	1
