"date"	"matchup"	"team"	"min"	"tpm"	"tpa"	"oreb"	"dreb"	"ast"	"stl"	"blk"	"to"	"pf"	"pts"	"HA"
20041107	"ATL@LAL"	"LAL"	240	6	12	7	33	21	4	7	18	19	106	1
20041108	"GSW@DAL"	"GSW"	265	4	15	19	35	16	6	7	17	29	98	-1
20041108	"GSW@DAL"	"DAL"	265	4	19	15	38	13	9	7	14	23	101	1
20041108	"DEN@UTZ"	"DEN"	240	5	10	10	26	17	9	4	12	25	91	-1
20041108	"DEN@UTZ"	"UTZ"	240	6	14	10	33	22	7	9	14	26	102	1
20041108	"DET@LAC"	"DET"	290	3	13	14	30	23	11	5	16	34	99	-1
20041108	"DET@LAC"	"LAC"	290	2	9	13	31	20	7	7	24	33	96	1
20041109	"DAL@ORL"	"DAL"	240	3	12	20	34	10	8	2	16	26	84	-1
20041109	"DAL@ORL"	"ORL"	240	1	13	11	45	23	12	7	20	26	94	1
20041109	"CLE@ATL"	"CLE"	240	2	8	10	29	18	8	5	16	25	93	-1
20041109	"CLE@ATL"	"ATL"	240	1	11	10	23	19	8	2	16	27	79	1
20041109	"POR@BRK"	"POR"	240	3	19	8	33	14	13	9	13	19	60	-1
20041109	"POR@BRK"	"BRK"	240	3	7	12	42	17	6	6	21	28	64	1
20041109	"WAS@MIA"	"WAS"	240	7	15	16	28	23	6	1	19	24	93	-1
20041109	"WAS@MIA"	"MIA"	240	5	15	11	34	25	9	7	16	21	103	1
20041109	"PHI@NYK"	"PHI"	240	7	12	12	26	14	9	2	28	24	88	-1
20041109	"PHI@NYK"	"NYK"	240	3	15	10	28	24	15	9	19	26	96	1
20041109	"IND@MIN"	"IND"	240	5	17	20	27	19	8	4	19	25	102	-1
20041109	"IND@MIN"	"MIN"	240	5	10	8	22	24	7	5	11	20	101	1
20041109	"LAL@NOP"	"LAL"	240	8	22	9	32	22	3	3	20	29	106	-1
20041109	"LAL@NOP"	"NOP"	240	5	23	16	18	22	10	2	11	28	98	1
20041109	"PHX@CHI"	"PHX"	240	7	22	12	42	24	5	8	14	19	94	-1
20041109	"PHX@CHI"	"CHI"	240	1	21	21	31	22	9	6	15	21	74	1
