"season"	"date"	"team"	"name"	"strtr"	"min"	"fgm"	"fga"	"tpm"	"tpa"	"ftm"	"fta"	"oreb"	"treb"	"ast"	"stl"	"blk"	"to"	"pf"	"pts"	"secs"
"2020"	20200820	"SEA"	"Breanna Stewart"	3	"33:48"	5	18	1	8	7	7	0	5	3	0	2	3	3	18	2028
"2021"	20210910	"ATL"	"Courtney Williams"	1	"34:05"	11	18	1	2	0	0	1	6	2	1	2	1	0	23	2045
"2015"	20150612	"PHO"	"Mistie Bass"	5	"10:37"	1	2	0	0	0	0	1	2	1	0	0	0	1	2	637
"2019"	20190719	"CON"	"Jonquel Jones"	2	"24:11"	4	11	0	4	4	7	4	9	2	3	2	2	3	12	1451
"2016"	20160604	"LAS"	"Nneka Ogwumike"	4	"26:14"	3	7	0	0	2	2	2	6	0	1	0	1	3	8	1574
"2018"	20180603	"CHI"	"Astou Ndour"	5	"10:25"	0	3	0	1	4	4	2	2	0	0	0	0	2	4	625
"2019"	20190707	"LVA"	"Liz Cambage"	2	"25:39"	7	13	0	0	7	8	5	11	2	2	2	2	1	21	1539
"2021"	20210908	"LVA"	"Chelsea Gray"	2	"30:21"	4	9	0	1	0	0	0	0	14	4	0	2	2	8	1821
"2017"	20170618	"IND"	"Candice Dupree"	1	"37:43"	8	22	0	0	2	2	3	8	3	0	0	0	3	18	2263
"2018"	20180722	"DAL"	"Kayla Thornton"	2	"37:03"	4	11	1	5	2	2	1	3	3	0	0	1	3	11	2223
"2021"	20210530	"LVA"	"A'ja Wilson"	4	"27:00"	4	8	0	0	7	8	0	4	4	0	0	1	1	15	1620
"2021"	20210603	"IND"	"Tiffany Mitchell"	4	"22:55"	3	9	0	2	4	6	0	2	1	0	0	2	2	10	1375
"2021"	20210619	"WAS"	"Theresa Plaisance"	3	"32:40"	6	13	3	9	1	2	3	12	4	1	0	2	1	16	1960
"2017"	20170804	"DAL"	"Glory Johnson"	2	"29:58"	4	10	1	2	2	2	3	16	2	1	1	2	1	11	1798
"2018"	20180715	"LAS"	"Nneka Ogwumike"	4	"31:56"	5	14	0	0	5	5	1	7	1	2	2	2	2	15	1916
"2019"	20190808	"PHO"	"DeWanna Bonner"	3	"30:57"	2	11	0	5	6	7	0	5	1	1	3	2	4	10	1857
"2017"	20170603	"SEA"	"Alysha Clark"	4	"26:35"	6	7	2	2	2	2	1	2	1	0	0	1	3	16	1595
"2018"	20180607	"SEA"	"Breanna Stewart"	2	"27:26"	7	13	1	5	1	2	2	5	2	2	0	3	1	16	1646
"2019"	20190707	"DAL"	"Kayla Thornton"	1	"37:55"	3	12	2	4	2	2	2	5	3	2	0	2	1	10	2275
"2019"	20190623	"IND"	"Erica Wheeler"	2	"32:36"	5	13	2	7	6	7	0	0	4	3	0	8	3	18	1956
"2019"	20190814	"LAS"	"Nneka Ogwumike"	2	"32:26"	8	14	0	2	5	6	2	9	2	3	2	2	2	21	1946
"2016"	20160710	"CHI"	"Imani McGee-Stafford"	3	"23:52"	4	5	0	0	4	5	6	13	1	0	2	3	4	12	1432
"2021"	20210821	"ATL"	"Crystal Bradford"	4	"27:38"	6	13	1	4	0	1	2	5	1	3	2	1	5	13	1658
"2019"	20190615	"ATL"	"Elizabeth Williams"	1	"34:39"	6	10	0	0	4	4	5	8	1	1	2	1	1	16	2079
"2015"	20150802	"SEA"	"Sue Bird"	2	"28:03"	5	17	3	7	1	1	0	3	2	1	0	4	2	14	1683
"2015"	20150627	"SAS"	"Jia Perkins"	1	"31:02"	5	15	0	6	1	2	3	6	3	2	0	0	1	11	1862
"2016"	20160612	"CON"	"Camille Little"	4	"20:15"	6	9	1	2	1	2	1	2	1	2	0	2	1	14	1215
"2021"	20210613	"NYL"	"Sami Whitcomb"	2	"34:39"	5	10	3	7	1	2	0	3	6	3	1	3	2	14	2079
"2018"	20180711	"ATL"	"Renee Montgomery"	4	"28:59"	6	9	5	8	4	4	0	1	5	4	0	1	1	21	1739
"2020"	20200823	"LAS"	"Sydney Wiese"	5	"19:42"	2	4	0	1	0	0	0	0	1	0	1	1	2	4	1182
"2017"	20170610	"CON"	"Shekinna Stricklen"	4	"29:04"	5	9	4	7	5	5	3	6	0	3	0	1	1	19	1744
