"season"	"date"	"regsea"	"VTabbr"	"VT"	"HTabbr"	"HT"	"HTTZ"	"min"	"pace"	"refs"	"VTscore"	"HTscore"
"2016"	20160906	TRUE	"MIN"	"Minnesota Lynx"	"LAS"	"Los Angeles Sparks"	0	197	87.6	"Byron Jarrett, Daryl Humphrey, Jonathan Sterling"	77	74
"2016"	20160906	TRUE	"IND"	"Indiana Fever"	"SAS"	"San Antonio Stars"	2	200	86.9	"Karleena Tobin, Kurt Walker, Tiara Cruse"	71	69
"2016"	20160907	TRUE	"SEA"	"Seattle Storm"	"NYL"	"New York Liberty"	3	200	91.1	"Maj Forsberg, Fatou Cissoko-Stephens, Aaron Smith"	102	78
"2016"	20160907	TRUE	"CHI"	"Chicago Sky"	"WAS"	"Washington Mystics"	3	200	95.2	"Jeffrey Smith, Cheryl Flores, Vladimir Voyard-Tadal"	81	118
"2016"	20160908	TRUE	"ATL"	"Atlanta Dream"	"LAS"	"Los Angeles Sparks"	0	190	93.1	"JB DeRosa, Tommy Nunez, Amy Bonner"	86	79
"2016"	20160909	TRUE	"CHI"	"Chicago Sky"	"IND"	"Indiana Fever"	3	200	95.1	"Byron Jarrett, Daryl Humphrey, Kevin Sparrock"	88	95
"2016"	20160909	TRUE	"CON"	"Connecticut Sun"	"NYL"	"New York Liberty"	3	200	99.5	"Tiffany Bird, Tony Dawkins, Jeffrey Smith"	82	89
"2016"	20160909	TRUE	"DAL"	"Dallas Wings"	"SAS"	"San Antonio Stars"	2	200	88.6	"Tom Mauer, Janetta Graham, Amy Bonner"	92	84
"2016"	20160909	TRUE	"SEA"	"Seattle Storm"	"WAS"	"Washington Mystics"	3	200	91.4	"Natalie Sago, Eric Brewton, Tim Greene"	81	76
"2016"	20160911	TRUE	"CHI"	"Chicago Sky"	"CON"	"Connecticut Sun"	3	200	97	"Billy Smith, Eric Brewton, Amy Bonner"	96	86
"2016"	20160911	TRUE	"NYL"	"New York Liberty"	"DAL"	"Dallas Wings"	2	200	96	"Cheryl Flores, Tim Greene, Roy Gulbeyan"	81	84
"2016"	20160911	TRUE	"ATL"	"Atlanta Dream"	"PHO"	"Phoenix Mercury"	1	200	94.9	"Daryl Humphrey, Tom Mauer, Jonathan Sterling"	75	86
"2016"	20160911	TRUE	"MIN"	"Minnesota Lynx"	"SAS"	"San Antonio Stars"	2	200	94.7	"Tommy Nunez, JB DeRosa, Kevin Sparrock"	81	76
"2016"	20160911	TRUE	"LAS"	"Los Angeles Sparks"	"SEA"	"Seattle Storm"	0	200	90.8	"Kurt Walker, Jeff Wooten, Roy Gulbeyan"	56	78
"2016"	20160911	TRUE	"IND"	"Indiana Fever"	"WAS"	"Washington Mystics"	3	200	81.8	"Isaac Barnett, Sue Blauch, Tiffany Bird"	80	73
"2016"	20160913	TRUE	"SAS"	"San Antonio Stars"	"ATL"	"Atlanta Dream"	3	200	93.2	"Tim Greene, Vladimir Voyard-Tadal, Sue Blauch"	71	67
"2016"	20160913	TRUE	"MIN"	"Minnesota Lynx"	"CHI"	"Chicago Sky"	2	225	91.1	"Tiffany Bird, Jonathan Sterling, Roy Gulbeyan"	97	98
"2016"	20160913	TRUE	"IND"	"Indiana Fever"	"CON"	"Connecticut Sun"	3	200	95.1	"Tommy Nunez, Don Hudson, Fatou Cissoko-Stephens"	87	89
"2016"	20160913	TRUE	"PHO"	"Phoenix Mercury"	"LAS"	"Los Angeles Sparks"	0	188	92.5	"Michael Price, Aaron Smith, Billy Smith, Cheryl Flores"	85	90
"2016"	20160913	TRUE	"WAS"	"Washington Mystics"	"NYL"	"New York Liberty"	3	200	87.3	"Tiara Cruse, Billy Smith, Byron Jarrett"	75	62
"2016"	20160915	TRUE	"WAS"	"Washington Mystics"	"ATL"	"Atlanta Dream"	3	200	96	"Fatou Cissoko-Stephens, Amy Bonner, Jeff Wooten"	91	94
"2016"	20160915	TRUE	"SEA"	"Seattle Storm"	"PHO"	"Phoenix Mercury"	1	200	87.6	"Roy Gulbeyan, Jeffrey Smith, Janetta Graham"	62	86
"2016"	20160916	TRUE	"NYL"	"New York Liberty"	"CHI"	"Chicago Sky"	2	200	100.1	"Don Hudson, Michael Price, JB DeRosa"	68	92
"2016"	20160916	TRUE	"DAL"	"Dallas Wings"	"CON"	"Connecticut Sun"	3	200	95.1	"Vladimir Voyard-Tadal, Kurt Walker, Katie Lukanich"	74	107
"2016"	20160916	TRUE	"MIN"	"Minnesota Lynx"	"IND"	"Indiana Fever"	3	200	89.3	"Daryl Humphrey, Maj Forsberg, Jeff Wooten"	82	75
"2016"	20160916	TRUE	"SAS"	"San Antonio Stars"	"LAS"	"Los Angeles Sparks"	0	191	88	"Roy Gulbeyan, Isaac Barnett, Eric Brewton"	65	69
"2016"	20160917	TRUE	"ATL"	"Atlanta Dream"	"MIN"	"Minnesota Lynx"	2	200	94.6	"Kevin Sparrock, Cheryl Flores, Kurt Walker"	87	95
"2016"	20160918	TRUE	"DAL"	"Dallas Wings"	"IND"	"Indiana Fever"	3	200	89.6	"Sue Blauch, Billy Smith, Tony Dawkins"	60	83
"2016"	20160918	TRUE	"PHO"	"Phoenix Mercury"	"SAS"	"San Antonio Stars"	2	200	80.7	"Amy Bonner, Jeff Wooten, Daryl Humphrey"	81	65
"2016"	20160918	TRUE	"CHI"	"Chicago Sky"	"SEA"	"Seattle Storm"	0	200	95.8	"Tommy Nunez, Maj Forsberg, Eric Brewton"	75	88
"2016"	20160918	TRUE	"CON"	"Connecticut Sun"	"WAS"	"Washington Mystics"	3	200	96.6	"Tom Mauer, Isaac Barnett, Michael Price"	87	78
"2017"	20170513	TRUE	"ATL"	"Atlanta Dream"	"CON"	"Connecticut Sun"	3	200	101.2	"Maj Forsberg, Tim Greene, Vladimir Voyard-Tadal"	81	74
"2017"	20170513	TRUE	"SEA"	"Seattle Storm"	"LAS"	"Los Angeles Sparks"	0	200	91.8	"Natalie Sago, Tiffany Bird, Sue Blauch"	68	78
"2017"	20170513	TRUE	"SAS"	"San Antonio Stars"	"NYL"	"New York Liberty"	3	200	86.2	"Billy Smith, Fatou Cissoko-Stephens, Eric Brewton"	64	73
"2017"	20170514	TRUE	"CHI"	"Chicago Sky"	"MIN"	"Minnesota Lynx"	2	200	97.3	"Jeff Wooten, Roy Gulbeyan, Janetta Graham"	61	70
"2017"	20170514	TRUE	"DAL"	"Dallas Wings"	"PHO"	"Phoenix Mercury"	1	200	86.1	"Tommy Nunez, Kevin Sparrock, Cheryl Flores"	68	58
"2017"	20170514	TRUE	"IND"	"Indiana Fever"	"SEA"	"Seattle Storm"	0	200	88.1	"Kurt Walker, Tiara Cruse, Jonathan Sterling"	82	87
"2017"	20170514	TRUE	"SAS"	"San Antonio Stars"	"WAS"	"Washington Mystics"	3	200	87.3	"Don Hudson, JB DeRosa, Karleena Tobin"	74	89
"2017"	20170517	TRUE	"IND"	"Indiana Fever"	"PHO"	"Phoenix Mercury"	1	200	95.6	"Jeff Wooten, Vladimir Voyard-Tadal, Tiffany Bird"	62	85
"2017"	20170518	TRUE	"MIN"	"Minnesota Lynx"	"NYL"	"New York Liberty"	3	200	96.3	"Isaac Barnett, Tiara Cruse, Sue Blauch"	90	71
"2017"	20170519	TRUE	"ATL"	"Atlanta Dream"	"CHI"	"Chicago Sky"	2	200	99.2	"Kurt Walker, Byron Jarrett, Tiara Cruse"	91	83
"2017"	20170519	TRUE	"WAS"	"Washington Mystics"	"LAS"	"Los Angeles Sparks"	0	200	89.6	"Janetta Graham, Tommy Nunez, Jeff Wooten"	89	99
"2017"	20170519	TRUE	"PHO"	"Phoenix Mercury"	"SAS"	"San Antonio Stars"	2	200	97.5	"Maj Forsberg, Randy Richardson, Fatou Cissoko-Stephens"	78	72
"2017"	20170520	TRUE	"MIN"	"Minnesota Lynx"	"DAL"	"Dallas Wings"	2	200	93.4	"Tiffany Bird, Katie Lukanich, Roy Gulbeyan"	89	87
"2017"	20170520	TRUE	"CON"	"Connecticut Sun"	"IND"	"Indiana Fever"	3	200	83.8	"Karleena Tobin, Kurt Walker, Isaac Barnett"	79	81
"2017"	20170521	TRUE	"CHI"	"Chicago Sky"	"ATL"	"Atlanta Dream"	3	200	96.7	"Kevin Sparrock, Sue Blauch, Randy Richardson"	75	71
"2017"	20170521	TRUE	"WAS"	"Washington Mystics"	"SEA"	"Seattle Storm"	0	200	87.9	"Byron Jarrett, Jeffrey Smith, Maj Forsberg"	71	81
"2017"	20170523	TRUE	"CON"	"Connecticut Sun"	"MIN"	"Minnesota Lynx"	2	200	95.5	"Maj Forsberg, JB DeRosa, Vladimir Voyard-Tadal"	78	80
"2017"	20170523	TRUE	"NYL"	"New York Liberty"	"PHO"	"Phoenix Mercury"	1	200	90.9	"Byron Jarrett, Cheryl Flores, Tony Dawkins"	69	67
"2017"	20170524	TRUE	"WAS"	"Washington Mystics"	"CHI"	"Chicago Sky"	2	200	86	"Tiffany Bird, Roy Gulbeyan, Jonathan Sterling"	82	67
"2017"	20170524	TRUE	"LAS"	"Los Angeles Sparks"	"IND"	"Indiana Fever"	3	200	88.4	"Don Hudson, Tiara Cruse, Billy Smith"	90	93
"2017"	20170525	TRUE	"DAL"	"Dallas Wings"	"SAS"	"San Antonio Stars"	2	200	98	"Isaac Barnett, Cheryl Flores, Byron Jarrett"	94	82
"2017"	20170526	TRUE	"MIN"	"Minnesota Lynx"	"CON"	"Connecticut Sun"	3	200	90.3	"Jonathan Sterling, Roy Gulbeyan, Janetta Graham"	82	68
"2017"	20170526	TRUE	"NYL"	"New York Liberty"	"SEA"	"Seattle Storm"	0	200	91.2	"Kurt Walker, Don Hudson, Brenda Pantoja"	81	87
"2017"	20170526	TRUE	"CHI"	"Chicago Sky"	"WAS"	"Washington Mystics"	3	200	99.7	"Tony Dawkins, Eric Brewton, Sue Blauch"	79	88
"2017"	20170527	TRUE	"LAS"	"Los Angeles Sparks"	"ATL"	"Atlanta Dream"	3	200	88.3	"Cheryl Flores, Roy Gulbeyan, Byron Jarrett"	73	75
"2017"	20170527	TRUE	"DAL"	"Dallas Wings"	"PHO"	"Phoenix Mercury"	1	200	99.3	"Maj Forsberg, Billy Smith, JB DeRosa"	65	107
"2017"	20170528	TRUE	"CON"	"Connecticut Sun"	"CHI"	"Chicago Sky"	2	200	103.4	"Isaac Barnett, Kurt Walker, Cheryl Flores"	97	79
"2017"	20170528	TRUE	"SAS"	"San Antonio Stars"	"MIN"	"Minnesota Lynx"	2	200	88.9	"Eric Brewton, Brenda Pantoja, Randy Richardson"	66	80
"2017"	20170528	TRUE	"IND"	"Indiana Fever"	"SEA"	"Seattle Storm"	0	200	90.5	"Jeff Wooten, Tom Mauer, Janetta Graham"	70	94
"2017"	20170530	TRUE	"IND"	"Indiana Fever"	"DAL"	"Dallas Wings"	2	200	91.2	"Brenda Pantoja, Kurt Walker, Tim Greene"	62	89
"2017"	20170530	TRUE	"LAS"	"Los Angeles Sparks"	"NYL"	"New York Liberty"	3	200	90.3	"Jonathan Sterling, Tiffany Bird, Maj Forsberg"	90	75
"2017"	20170531	TRUE	"SAS"	"San Antonio Stars"	"ATL"	"Atlanta Dream"	3	200	93.6	"Tony Dawkins, Katie Lukanich, Jeffrey Smith"	70	77
"2017"	20170531	TRUE	"CON"	"Connecticut Sun"	"WAS"	"Washington Mystics"	3	200	87.4	"Daryl Humphrey, Tiara Cruse, Billy Smith"	76	78
"2017"	20170601	TRUE	"PHO"	"Phoenix Mercury"	"CHI"	"Chicago Sky"	2	200	93.7	"Tiffany Bird, Sue Blauch, Tim Greene"	99	91
"2017"	20170602	TRUE	"DAL"	"Dallas Wings"	"NYL"	"New York Liberty"	3	200	100.8	"Isaac Barnett, Sue Blauch, Tony Dawkins"	89	93
"2017"	20170603	TRUE	"DAL"	"Dallas Wings"	"IND"	"Indiana Fever"	3	200	90.1	"Tom Mauer, Randy Richardson, Tiffany Bird"	85	91
"2017"	20170603	TRUE	"CON"	"Connecticut Sun"	"SAS"	"San Antonio Stars"	2	200	95.5	"Tim Greene, Natalie Sago, Jeffrey Smith"	85	77
"2017"	20170603	TRUE	"MIN"	"Minnesota Lynx"	"SEA"	"Seattle Storm"	0	200	91.2	"Karleena Tobin, Kurt Walker, Kevin Sparrock"	100	77
"2017"	20170604	TRUE	"PHO"	"Phoenix Mercury"	"NYL"	"New York Liberty"	3	200	94.8	"Cheryl Flores, Billy Smith, Eric Brewton"	72	88
"2017"	20170604	TRUE	"ATL"	"Atlanta Dream"	"WAS"	"Washington Mystics"	3	200	95.1	"Maj Forsberg, Jonathan Sterling, Don Hudson"	72	78
"2017"	20170606	TRUE	"WAS"	"Washington Mystics"	"DAL"	"Dallas Wings"	2	200	95.4	"Karleena Tobin, Roy Gulbeyan, Eric Brewton"	101	89
"2017"	20170606	TRUE	"CHI"	"Chicago Sky"	"LAS"	"Los Angeles Sparks"	0	200	95.2	"Tommy Nunez, Tiara Cruse, Natalie Sago"	70	79
"2017"	20170606	TRUE	"SEA"	"Seattle Storm"	"SAS"	"San Antonio Stars"	2	200	88.7	"Billy Smith, Brenda Pantoja, JB DeRosa"	85	76
